gap_id,gap_level,gap_categories_json,evidence_family,affected_source_id,affected_artifacts_json,geographic_scope,temporal_scope,gap_description,quantitative_evidence,scientific_or_operational_impact,current_mitigation,resolution_evidence_required,model_effect,alpha3_completion_effect,status,provenance_basis
GAP-SOURCE-IBM_ABANDONED_MINE_SITES,source_specific,"[""licensing"",""geographic_coverage"",""coordinate_or_geometry"",""temporal_currency"",""completeness"",""legal_or_operational_status"",""model_interpretation""]","Authoritative named inventory of 82 abandoned/orphaned mine sites identified for reclamation or rehabilitation, with state, source mineral wording, and earlier lessee.",SRC_IBM_ABANDONED_MINE_SITES,"[""india_ibm_abandoned_mine_sites.csv"",""india_material_ontology_v1.csv"",""material_source_term_crosswalk_v1.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,source page last-updated date and snapshot access date are recorded in the output; underlying site-identification period not stated,"No district, coordinate, mine code, lease geometry, closure date, or controlling current status is published. Rows are excluded from prospectivity scoring and are not a current all-mines or all-leases register.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_IBM_ABANDONED_MINE_SITES
GAP-SOURCE-IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,source_specific,"[""licensing"",""geographic_coverage"",""coordinate_or_geometry"",""temporal_currency"",""legal_or_operational_status"",""model_interpretation""]",Authoritative national/state/mineral/sector/area-band mining-lease aggregates and the published 2023-24 list of 97 mining leases or composite licences granted through auction.,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,"[""india_ibm_auctioned_concession_geometries_2023_24.geojson"",""india_ibm_auctioned_mineral_concessions_2023_24.csv"",""india_ibm_mining_lease_distribution_2024.csv"",""india_material_ontology_v1.csv"",""material_source_term_crosswalk_v1.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2024 reporting year; PDF created 2026-01-21; lease status provisional as at 2024-03-31,"Tables exclude atomic minerals, coal, lignite, petroleum, natural gas and minor minerals. Aggregate rows are non-spatial. Table 5 publishes block names, state, mineral, auction date, concession type and usually area, but no coordinates, polygons, bidder, production, reserves, controlling current legal status or operating status. IBM prints an unparseable 'n' for the Himachal Pradesh 2024 lease count; KHANAN preserves it and leaves the numeric value blank.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS
GAP-SOURCE-IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,source_specific,"[""licensing"",""geographic_coverage"",""temporal_currency"",""completeness"",""legal_or_operational_status"",""model_interpretation""]","Official compiled State/UT mineral-occurrence geography, with district, named-area and statewide scope preserved separately.",SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,"[""india_ibm_district_mineral_context_h3_r6.csv"",""india_ibm_district_mineral_occurrences_2024.csv"",""india_ibm_state_mineral_occurrences_2024.csv"",""india_material_ontology_v1.csv"",""material_source_term_crosswalk_v1.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2024 reporting year; PDF created 2026-03-11; NMI resource tables mostly as at 2020-04-01,"IBM says the Yearbook is internally collated from multiple divisions and sources, advises reader discretion and disclaims warranties. Occurrence prose is not a mine register, assay, reserve, grade, legal status, operating status or new discovery. Administrative names and vintages vary.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS
GAP-SOURCE-IBM_MCDR_INSPECTIONS_2023_2026,source_specific,"[""licensing"",""geographic_coverage"",""coordinate_or_geometry"",""temporal_currency"",""completeness"",""legal_or_operational_status"",""model_interpretation""]","Named mine inspection events, dates, regions, state/district, mineral, owner/lessee, mine code, lease area, and linked report/notice documents where published.",SRC_IBM_MCDR_INSPECTIONS_2023_2026,"[""india_ibm_mcdr_inspection_events_2023_2026.csv"",""india_ibm_mcdr_latest_inspected_mines.csv"",""india_material_ontology_v1.csv"",""material_source_term_crosswalk_v1.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,inspection dates through source access 2026-09-09,"Inspection tables are not an exhaustive lease or working-mine register. Inclusion shows a published IBM inspection-table record, not current production, legal compliance, reserve size, or georeferenced location.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_IBM_MCDR_INSPECTIONS_2023_2026
GAP-SOURCE-IBM_NMI_2025,source_specific,"[""licensing"",""geographic_coverage"",""coordinate_or_geometry"",""temporal_currency""]","Authoritative 2025 UNFC reserves/resources by mineral, grade or measure, and state/UT.",SRC_IBM_NMI_2025,"[""india_ibm_nmi_2025_resource_inventory.csv"",""india_material_ontology_v1.csv"",""material_source_term_crosswalk_v1.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,resources as on 2025-04-01,National/state aggregates are not deposit locations; the source chapter provides no coordinates or polygons and figures are rounded.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_IBM_NMI_2025
GAP-SOURCE-IMA_CNMNC_MINERAL_LIST_2026_09,source_specific,"[""licensing"",""geographic_coverage""]","Canonical mineral-species names, approved formulae, IMA status, and authority verification in the v1 material ontology.",SRC_IMA_CNMNC_MINERAL_LIST_2026_09,"[""india_material_ontology_v1.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2026-09,"The IMA list defines mineral species; rocks, ores, mixtures, varieties, commodity groups, and industrial products require separate classification.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_IMA_CNMNC_MINERAL_LIST_2026_09
GAP-SOURCE-INDIA_CRITICAL_2023,source_specific,"[""licensing""]",Official first 30 entries in the strategic-material priority list.,SRC_INDIA_CRITICAL_2023,"[""india_known_mining_sites.csv"",""india_material_ontology_v1.csv"",""india_mining_candidate_areas_validation_gated.csv"",""india_mining_prospectivity_grid_h3_r6.csv"",""india_strategic_materials_top50.csv"",""material_emag2_spatial_ablation.csv"",""material_emag2_spatial_ablation_folds.csv"",""material_model_support.csv"",""material_model_validation.csv"",""material_official_block_transfer_validation.csv"",""material_sentinel2_spatial_ablation.csv"",""material_sentinel2_spatial_ablation_folds.csv"",""material_soilgrids_spatial_ablation.csv"",""material_soilgrids_spatial_ablation_folds.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2023-06,Criticality priorities can change; the report recommends periodic review.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_INDIA_CRITICAL_2023
GAP-SOURCE-ISRIC_SOILGRIDS_V2,source_specific,"[""licensing"",""method_or_unit_metadata"",""model_interpretation""]","Resolution-controlled WCS subsets of nine soil properties at 0-5 cm and 30-60 cm, including mean predictions and 90% prediction intervals sampled at H3 resolution-6 centroids.",SRC_ISRIC_SOILGRIDS_V2,"[""material_soilgrids_spatial_ablation.csv"",""material_soilgrids_spatial_ablation_folds.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,SoilGrids 2.0; source snapshot accessed 2026-09-10,"Global machine-learning predictions at native 250 m resolution, not field assays or mineral-deposit evidence. KHANAN samples a coarser 0.025-degree WCS derivative. SoilGrids uses environmental covariates including climate, land cover and terrain, so feature dependence and leakage must be tested before model admission.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_ISRIC_SOILGRIDS_V2
GAP-SOURCE-IUPAC_PERIODIC_TABLE_2022,source_specific,"[""licensing"",""geographic_coverage"",""model_interpretation""]","Element names, symbols, and atomic numbers for ontology entities that are independently evidenced or members of official critical-mineral groups.",SRC_IUPAC_PERIODIC_TABLE_2022,"[""india_material_ontology_v1.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2022-05-04,"Element membership does not imply a mineable occurrence, recoverable grade, or deposit in India.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_IUPAC_PERIODIC_TABLE_2022
GAP-SOURCE-MINES_NMMC_AUCTION_OPERATIONALIZATION_JAN2025,source_specific,"[""licensing"",""temporal_currency"",""completeness"",""legal_or_operational_status""]","Official secondary historical status, preferred bidder, final bid and area evidence for Adakula and Mincheri RF on physical PDF page 50.",SRC_MINES_NMMC_AUCTION_OPERATIONALIZATION_JAN2025,"[""india_ibm_auctioned_concession_status_evidence_2023_24.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,January 2025; PDF created 2025-01-22,"The slide says LoI was pending at that historical snapshot and is not a controlling grant record or proof of present operation. It prints 14 April 2024 for Mincheri, conflicting with IBM's 11 March 2024 auction date.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_MINES_NMMC_AUCTION_OPERATIONALIZATION_JAN2025
GAP-SOURCE-MSTC_CRITICAL_MBS_T1_T8,source_specific,"[""licensing"",""source_access"",""geographic_coverage"",""coordinate_or_geometry"",""temporal_currency"",""legal_or_operational_status""]","Block names, districts, concession areas, material portfolios, and source-published boundary coordinates for 143 non-superseded auction-offer observations.",SRC_MSTC_CRITICAL_MBS_T1_T8,"[""india_material_ontology_v1.csv"",""india_official_critical_mineral_blocks.csv"",""india_official_critical_mineral_mbs_manifest.csv"",""material_official_block_transfer_validation.csv"",""material_source_term_crosswalk_v1.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,accessed 2026-09-10,Two superseded portal files are excluded. Coordinates are checked against published areas and 2011 state boundaries; legal boundaries and current status must be verified from controlling tender/grant documents.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_MSTC_CRITICAL_MBS_T1_T8
GAP-SOURCE-MSTC_CRITICAL_NIT_T1_T8,source_specific,"[""licensing"",""source_access"",""temporal_currency"",""legal_or_operational_status"",""model_interpretation""]","Authoritative tranche dates, lists, first/second-attempt sections, concession types, and fallback coordinate tables where standalone summaries omit them.",SRC_MSTC_CRITICAL_NIT_T1_T8,"[""india_official_critical_mineral_blocks.csv"",""india_official_critical_mineral_mbs_manifest.csv"",""material_official_block_transfer_validation.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,accessed 2026-09-10,"Tender notices describe auction events, not final grants, operating mines, reserves, grade assurance, or permission to access land.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_MSTC_CRITICAL_NIT_T1_T8
GAP-SOURCE-MSTC_CRITICAL_RESULTS_T6_T7,source_specific,"[""licensing"",""source_access"",""geographic_coverage"",""temporal_currency""]","Named tranche-VI and tranche-VII results, auction numbers/timestamps, bidders, registration numbers, and final offers.",SRC_MSTC_CRITICAL_RESULTS_T6_T7,"[""india_official_critical_mineral_blocks.csv"",""india_official_critical_mineral_mbs_manifest.csv"",""material_official_block_transfer_validation.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,accessed 2026-09-10,"Dynamic results page; mock-auction rows are excluded. Portal display may change, so values are tied to the stated access date.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_MSTC_CRITICAL_RESULTS_T6_T7
GAP-SOURCE-MSTC_STATE_MBS_IBM_AUCTIONS_2023_24,source_specific,"[""licensing"",""source_access"",""geographic_coverage"",""coordinate_or_geometry"",""temporal_currency"",""legal_or_operational_status"",""model_interpretation""]","Reviewed document links, source-published concession boundary coordinates, exploration summaries, geological resources, grades, climate, terrain, hydrology and access context.",SRC_MSTC_STATE_MBS_IBM_AUCTIONS_2023_24,"[""india_ibm_auctioned_concession_geometries_2023_24.geojson"",""material_official_block_transfer_validation.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,source documents reviewed; portal accessed 2026-09-10,"Alpha.16 reviews all 97 IBM rows: 92 selected State MBS PDFs and five Andhra Pradesh exact-name searches with no match in the current public index. The 22 Madhya Pradesh Phase-XI and 31 Rajasthan historical matches use browser-verified pinned file identifiers so newer same-name uploads cannot silently replace the IBM 2023-24 tranche. Mine Block Summaries describe auction-stage technical context and do not independently prove current operation, present legal status, access permission or reserve classification. Source conflicts and failed geometry checks are withheld, not repaired by inference.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_MSTC_STATE_MBS_IBM_AUCTIONS_2023_24
GAP-SOURCE-NASA_POWER_ROLLING_12M,source_specific,"[""temporal_currency"",""method_or_unit_metadata""]","Rolling 12-month temperature, precipitation, relative humidity, and wind-speed summaries.",SRC_NASA_POWER_ROLLING_12M,"[""india_known_mining_sites.csv"",""india_mining_candidate_areas_validation_gated.csv"",""india_mining_prospectivity_grid_h3_r6.csv"",""india_strategic_materials_top50.csv"",""material_emag2_spatial_ablation.csv"",""material_emag2_spatial_ablation_folds.csv"",""material_model_support.csv"",""material_model_validation.csv"",""material_official_block_transfer_validation.csv"",""material_sentinel2_spatial_ablation.csv"",""material_sentinel2_spatial_ablation_folds.csv"",""material_soilgrids_spatial_ablation.csv"",""material_soilgrids_spatial_ablation_folds.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2025-09-01 through 2026-08-31,Meteorological data at native source resolution. Recent near-real-time values may later be superseded by long-term MERRA-2 products; the exact daily source files and checksums are cached for reproducibility.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_NASA_POWER_ROLLING_12M
GAP-SOURCE-NOAA_EMAG2V3,source_specific,"[""licensing"",""geographic_coverage"",""method_or_unit_metadata"",""model_interpretation""]","Two-arc-minute magnetic anomaly at a consistent 4 km altitude, source error estimate, and source-grid code sampled at H3 resolution-6 centroids, with local 3x3 source-pixel summaries.",SRC_NOAA_EMAG2V3,"[""material_emag2_spatial_ablation.csv"",""material_emag2_spatial_ablation_folds.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,Version 3 published 2017-05-30; accessed 2026-09-10,"A global compilation of heterogeneous satellite, ship, airborne and precompiled sources. Resolution and error vary; values are regional geophysical context, not deposit evidence, grade, depth or economic viability. The GeoTIFF lacks embedded CRS metadata, so EPSG:4326 is assigned from NCEI ISO metadata.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_NOAA_EMAG2V3
GAP-SOURCE-PIB_CRITICAL_BLOCKS_T1,source_specific,"[""licensing"",""coordinate_or_geometry"",""model_interpretation""]","Official block-name, state, mineral, and concession-type inventory.",SRC_PIB_CRITICAL_BLOCKS_T1,"[""india_official_critical_mineral_blocks.csv"",""india_official_critical_mineral_mbs_manifest.csv"",""material_official_block_transfer_validation.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2023-12-13,Summary table provides no exact coordinates or polygons; records are inventory-only and excluded from spatial modelling.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_PIB_CRITICAL_BLOCKS_T1
GAP-SOURCE-PIB_CRITICAL_BLOCKS_T5,source_specific,"[""licensing"",""coordinate_or_geometry"",""model_interpretation""]","Official block-name, state, mineral, concession, bidder, and final-offer inventory.",SRC_PIB_CRITICAL_BLOCKS_T5,"[""india_official_critical_mineral_blocks.csv"",""india_official_critical_mineral_mbs_manifest.csv"",""material_official_block_transfer_validation.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2025-05-27,Summary table provides no exact coordinates or polygons; records are inventory-only and excluded from spatial modelling.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_PIB_CRITICAL_BLOCKS_T5
GAP-SOURCE-PIB_CRITICAL_BLOCKS_T8,source_specific,"[""licensing"",""geographic_coverage"",""legal_or_operational_status""]","Tranche-VIII offer status, tranche count, state totals, and mineral portfolio.",SRC_PIB_CRITICAL_BLOCKS_T8,"[""india_official_critical_mineral_blocks.csv"",""india_official_critical_mineral_mbs_manifest.csv"",""material_official_block_transfer_validation.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2026-07-15,The release provides aggregate state counts rather than a named block table; named rows are linked to MSTC mineral block summaries.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_PIB_CRITICAL_BLOCKS_T8
GAP-SOURCE-PIB_CRITICAL_RESULTS_T1,source_specific,"[""licensing"",""source_access"",""legal_or_operational_status"",""model_interpretation""]","Tranche-I successful-auction results, bidders, and premiums.",SRC_PIB_CRITICAL_RESULTS_T1,"[""india_official_critical_mineral_blocks.csv"",""india_official_critical_mineral_mbs_manifest.csv"",""material_official_block_transfer_validation.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2024-06-24,"A preferred-bidder result is not proof of final grant, production, reserves/resources, or legal/access feasibility.",See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_PIB_CRITICAL_RESULTS_T1
GAP-SOURCE-PIB_CRITICAL_RESULTS_T2_T3,source_specific,"[""licensing"",""coordinate_or_geometry""]","Eight successful-auction result rows with state, district, concession, and bidder.",SRC_PIB_CRITICAL_RESULTS_T2_T3,"[""india_official_critical_mineral_blocks.csv"",""india_official_critical_mineral_mbs_manifest.csv"",""material_official_block_transfer_validation.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2024-07-20,The table does not publish final price offers or exact block geometry.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_PIB_CRITICAL_RESULTS_T2_T3
GAP-SOURCE-PIB_CRITICAL_RESULTS_T4_A,source_specific,"[""licensing"",""coordinate_or_geometry""]",First eight tranche-IV successful-auction results.,SRC_PIB_CRITICAL_RESULTS_T4_A,"[""india_official_critical_mineral_blocks.csv"",""india_official_critical_mineral_mbs_manifest.csv"",""material_official_block_transfer_validation.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2024-11-07,The summary table does not publish exact block geometry.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_PIB_CRITICAL_RESULTS_T4_A
GAP-SOURCE-PIB_CRITICAL_RESULTS_T4_B,source_specific,"[""licensing"",""coordinate_or_geometry""]",Final two tranche-IV successful-auction results and tranche totals.,SRC_PIB_CRITICAL_RESULTS_T4_B,"[""india_official_critical_mineral_blocks.csv"",""india_official_critical_mineral_mbs_manifest.csv"",""material_official_block_transfer_validation.csv"",""official_block_transfer_observations.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2024-11-27,The summary table does not publish exact block geometry.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_PIB_CRITICAL_RESULTS_T4_B
GAP-SOURCE-USGS_MCS_2026,source_specific,"[""geographic_coverage"",""coordinate_or_geometry"",""completeness"",""legal_or_operational_status""]",Independent commodity vocabulary and India-reported commodity evidence in the v1 material ontology.,SRC_USGS_MCS_2026,"[""india_material_ontology_v1.csv"",""material_source_term_crosswalk_v1.csv"",""source_registry.csv""]",Source-defined; see source title and affected artifacts.,2026-05-27 version 1.3,Commodity statistics are not deposit locations and U.S. commodity groupings are not an Indian statutory classification.,See source-specific validation and affected artifact counts.,"Interpretation is limited to the source's stated scope, currency, precision, access, and method constraints.","Retain source wording, provenance, quality fields, and model-use restrictions; do not fabricate missing values.","A newer or more complete authoritative source with explicit reuse, method, coordinate, and status metadata where applicable.",The source is used only for the role stated in source_registry.csv and the release manifest.,must_remain_disclosed_in_final_coverage_audit,open_source_limitation,outputs/source_registry.csv#SRC_USGS_MCS_2026
